add_feature,rmse
init,0.16490114941654227
N-life,0.1648585579137342
N-LivingAreaError,0.164889305121515
N-LivingAreaProp,0.16490134154522326
N-LivingAreaProp2,0.16490114941654227
N-ExtraSpace,0.1648892442690031
N-ExtraSpace-2,0.16490114941654227
N-TotalRooms,0.1648887956644512
N-AvRoomSize,0.16489581382202503
N-ExtraRooms,0.16488811964506567
N-ValueProp,0.1648783856701645
N-GarPoolAC,0.16488942879619342
N-location,0.16487477394417385
N-location-2,0.16487836890368052
N-ValueRatio,0.16484179233173493
N-TaxScore,0.16489725272816874
N-taxdelinquencyyear-2,0.16489020013006406
N-taxdelinquencyyear-3,0.16489020013006406
N-taxdeline-life,0.16488816600113046
N-zip_count,0.16487105111037292
N-city_count,0.16487485790126827
N-county_count,0.1649011515343593
N-ACInd,0.16488894716355362
N-HeatInd,0.16488894119713868
N-PropType,0.16488970568226113
N-structuretaxvaluedollarcnt-2,0.16489934346772225
N-structuretaxvaluedollarcnt-3,0.16489934346772225
N-Avg-structuretaxvaluedollarcnt,0.16487380623286257
N-Dev-structuretaxvaluedollarcnt,0.16489753316459818
