regionidcity_fill,total_high_hours
3491.0,2
3980.0,4
4406.0,20
5465.0,21
5534.0,126
6021.0,30
6285.0,10
6395.0,11
6822.0,4
8384.0,11
9840.0,25
10241.0,43
10389.0,27
10608.0,16
10723.0,8
10734.0,49
10774.0,18
10815.0,42
11626.0,41
12292.0,9
12447.0,25
12520.0,17
12773.0,19
13091.0,18
13150.0,3
13232.0,32
13311.0,35
13693.0,3
13716.0,21
14111.0,39
14542.0,40
14634.0,26
14906.0,42
15237.0,13
15554.0,15
16389.0,12
16677.0,44
16764.0,21
16961.0,20
17150.0,25
17597.0,14
17686.0,10
17882.0,27
18098.0,29
18874.0,29
18875.0,19
19177.0,9
19202.0,3
20008.0,61
21412.0,36
21778.0,13
22827.0,28
24174.0,8
24245.0,50
24384.0,34
24435.0,49
24797.0,6
24812.0,23
24832.0,14
25218.0,6
25271.0,45
25458.0,18
25459.0,13
25468.0,32
25535.0,19
25621.0,35
25953.0,28
25974.0,23
26483.0,27
26531.0,28
26964.0,13
26965.0,9
27103.0,7
27110.0,35
27183.0,30
27491.0,19
27512.0,59
29189.0,58
29712.0,7
30187.0,39
30267.0,17
30399.0,20
30908.0,57
31134.0,18
32380.0,20
32616.0,10
32753.0,20
32923.0,49
32927.0,61
33252.0,19
33311.0,7
33312.0,10
33612.0,8
33727.0,17
33836.0,45
33837.0,36
33840.0,11
34037.0,7
34278.0,20
34543.0,1
34636.0,36
34780.0,13
36502.0,34
37015.0,47
37086.0,14
37688.0,33
37882.0,31
38032.0,8
38980.0,41
39076.0,17
39306.0,35
39308.0,52
40009.0,7
40081.0,19
40110.0,18
40227.0,99
40633.0,118
41484.0,20
41673.0,20
42091.0,30
42150.0,6
42967.0,14
44116.0,15
44833.0,13
45398.0,9
45457.0,25
45602.0,30
45888.0,6
46080.0,31
46098.0,26
46178.0,9
46298.0,8
46314.0,12
47019.0,42
47198.0,4
47547.0,65
47568.0,13
47695.0,51
47762.0,15
47913.0,10
48211.0,10
48424.0,28
50677.0,33
50749.0,48
51239.0,5
51617.0,11
51861.0,39
52650.0,13
52835.0,11
52842.0,13
53027.0,6
53162.0,10
53571.0,10
53636.0,19
53655.0,25
54053.0,12
54212.0,32
54299.0,38
54311.0,65
54352.0,12
54722.0,6
54970.0,22
55753.0,9
56780.0,32
113412.0,8
113576.0,33
114828.0,23
114834.0,37
116042.0,8
118217.0,30
118225.0,24
118694.0,38
118875.0,8
118878.0,8
118880.0,9
118895.0,38
118914.0,8
118994.0,9
272578.0,26
396053.0,16
396054.0,42
396550.0,8
396551.0,35
396556.0,28
