feature,importance
N_ValueRatio,8226
N_life,10326
N_zip_count,1447
airconditioningtypeid,0
assessmentyear,20
basementsqft,4
bathroomcnt,1479
bedroomcnt,1554
buildingqualitytypeid_fill,1903
calculatedbathnbr,2026
calculatedfinishedsquarefeet,9682
finishedfloor1squarefeet,2256
finishedsquarefeet12,12092
finishedsquarefeet50,1594
fips,1390
fireplacecnt,49
garagecarcnt,102
garagetotalsqft,1785
hashottuborspa,462
heatingorsystemtypeid,69
landtaxvaluedollarcnt,10334
latitude,1994
longitude,2103
lotsizesquarefeet,9080
lotsizesquarefeet_refill,5836
max_temp,427
min_temp,1030
numberofstories,26
parcelid,2044
poolcnt,578
pooltypeid2,297
propertycountylandusecode_fill,1033
propertylandusetypeid,791
rawcensustractandblock,4872
regionidcity_fill,4628
regionidcounty,674
regionidneighborhood_fill,8776
regionidzip_fill,8531
roomcnt,191
structuretaxvaluedollarcnt,10776
taxamount,9566
taxdelinquencyflag,1108
taxvaluedollarcnt,7706
threequarterbathnbr,29
total_high_hours,237
total_low_hours,1011
unitcnt_fill,73
yardbuildingsqft17,1392
month,3395
year,1623
N_ValueRatio,7273
N_life,7727
N_zip_count,1038
airconditioningtypeid,1
assessmentyear,163
basementsqft,0
bathroomcnt,917
bedroomcnt,1181
buildingqualitytypeid_fill,1236
calculatedbathnbr,1255
calculatedfinishedsquarefeet,7961
finishedfloor1squarefeet,1054
finishedsquarefeet12,8403
finishedsquarefeet50,825
fips,1113
fireplacecnt,7
garagecarcnt,87
garagetotalsqft,1259
hashottuborspa,269
heatingorsystemtypeid,57
landtaxvaluedollarcnt,6999
latitude,1506
longitude,1679
lotsizesquarefeet,8137
lotsizesquarefeet_refill,4738
max_temp,1106
min_temp,1274
numberofstories,17
parcelid,1541
poolcnt,416
pooltypeid2,191
propertycountylandusecode_fill,1126
propertylandusetypeid,527
rawcensustractandblock,3027
regionidcity_fill,3434
regionidcounty,489
regionidneighborhood_fill,6462
regionidzip_fill,6583
roomcnt,189
structuretaxvaluedollarcnt,7695
taxamount,6956
taxdelinquencyflag,511
taxvaluedollarcnt,4834
threequarterbathnbr,12
total_high_hours,397
total_low_hours,719
unitcnt_fill,14
yardbuildingsqft17,824
month,2755
year,1667
N_ValueRatio,8172
N_life,9638
N_zip_count,1347
airconditioningtypeid,0
assessmentyear,84
basementsqft,3
bathroomcnt,1204
bedroomcnt,1278
buildingqualitytypeid_fill,1158
calculatedbathnbr,1693
calculatedfinishedsquarefeet,9498
finishedfloor1squarefeet,898
finishedsquarefeet12,10209
finishedsquarefeet50,631
fips,1003
fireplacecnt,18
garagecarcnt,42
garagetotalsqft,624
hashottuborspa,294
heatingorsystemtypeid,99
landtaxvaluedollarcnt,7989
latitude,1124
longitude,1332
lotsizesquarefeet,8912
lotsizesquarefeet_refill,4652
max_temp,970
min_temp,988
numberofstories,29
parcelid,1124
poolcnt,528
pooltypeid2,160
propertycountylandusecode_fill,752
propertylandusetypeid,866
rawcensustractandblock,3011
regionidcity_fill,4316
regionidcounty,486
regionidneighborhood_fill,8027
regionidzip_fill,7880
roomcnt,152
structuretaxvaluedollarcnt,9373
taxamount,7910
taxdelinquencyflag,830
taxvaluedollarcnt,5825
threequarterbathnbr,21
total_high_hours,290
total_low_hours,391
unitcnt_fill,0
yardbuildingsqft17,599
month,3023
year,1270
